cod_ibge;ano;nascidosvivos;popfem_15a49anos;populacao
3506805;2001;141;2569;9564
3506904;2001;144;1829;7573
3507001;2001;628;9851;35619
3507100;2001;275;3825;13907
3507159;2001;62;785;3245
3507209;2001;11;204;801
3507308;2001;48;963;3786
3507407;2001;180;3575;13333
3507456;2001;33;500;1963
3507506;2001;1684;30750;110108
3507605;2001;2155;35573;127156
3507704;2001;49;1147;4440
3507753;2001;37;621;2338
3507803;2001;274;4704;17531
3507902;2001;313;5035;19115
3508009;2001;344;4439;17678
3508108;2001;178;3786;14017
3508207;2001;44;1005;3711
3508306;2001;79;1202;4636
3508405;2001;727;9278;33842
3508504;2001;1300;21922;77050
3508603;2001;494;7607;27534
3508702;2001;347;4536;18458
3508801;2001;234;4214;15915
3508900;2001;62;1031;4082
3509007;2001;1241;21285;72444
3509106;2001;49;1083;4273
3509205;2001;1148;14946;51951
3509254;2001;638;7390;29203
3509304;2001;128;2403;9233
3509403;2001;397;5482;21063
3509452;2001;95;1329;5241
3509502;2001;14609;289741;980449
3509601;2001;1196;18664;64666
3509700;2001;1005;12707;44658
3509809;2001;57;1031;4209
3509908;2001;239;3038;12296
3509957;2001;82;945;3677
3510005;2001;423;7911;29376
3510104;2001;32;680;2620
3510153;2001;94;924;3574
3510203;2001;994;12324;46881
3510302;2001;303;3764;14570
3510401;2001;728;11618;42136
3510500;2001;1494;22214;80934
3510609;2001;6945;104503;346764
3510708;2001;160;2999;11669
3510807;2001;346;6733;26924
3510906;2001;45;719;2873
3511003;2001;216;4071;15252
3511102;2001;1356;29734;106512
3511201;2001;85;1834;6617
3511300;2001;70;1810;6822
3511409;2001;244;4043;15388
3511508;2001;476;8715;30474
3511607;2001;218;3389;13135
3511706;2001;204;3525;13241
3511904;2001;88;1457;5561
3512001;2001;224;4541;16738
3512100;2001;88;1575;5949
3512209;2001;450;6107;22960
3512308;2001;240;3818;14989
3512407;2001;279;4955;17914
3512506;2001;54;1239;4503
3512605;2001;66;1375;5547
3512704;2001;60;975;3809
3512803;2001;806;13003;45715
3512902;2001;57;1850;7357
3513009;2001;3430;45830;153980
3513108;2001;435;7818;28714
3513207;2001;109;1728;6679
3513306;2001;36;724;2586
3513405;2001;1144;20821;73917
3513504;2001;2241;31882;109475
3513603;2001;391;5816;23042
3513702;2001;378;7967;29137
3513801;2001;7690;110703;360392
3513850;2001;19;398;1636
3513900;2001;151;3191;11969
3514007;2001;117;1887;7098
3514106;2001;330;5918;22699
3514205;2001;18;529;2146
3514304;2001;120;2265;8612
3514403;2001;513;11321;40821
3514502;2001;184;3330;12473
3514601;2001;112;1804;6493
3514700;2001;113;1771;6808
3514809;2001;316;3298;14236
3514908;2001;232;3741;14066
3514924;2001;25;689;2635
3514957;2001;30;641;2473
3515004;2001;4634;63537;210552
3515103;2001;1101;16082;57412
3515129;2001;45;771;2909
3515152;2001;172;2925;10548
3515186;2001;611;11165;40741
3515194;2001;79;968;3730
3515202;2001;115;2194;8254
3515301;2001;39;676;2640
3515350;2001;172;2626;10161
3515400;2001;217;3914;15058
3515509;2001;829;17343;62013
3515608;2001;56;1415;5442
